 Line, Type of investment,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,,,Not seasonally adjusted,,,,Not seasonally adjusted ,,
,,2006,,,,2007 ,,,,2008,,,,2009 ,,,,2010,,,,2011 ,,,,2012,,,,2013 ,,,,2014,,,,2015 ,,,,2016,,,,2017 ,,
,,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III,IV ,I,II ,III
1,U.S. net international investment position (line 4 less line 35),-1656271,-1679424,-2006413,-1808474,-1654830,-1422046,-1232107,-1279493,-1849701,-1835095,-3309696,-3995303,-3856708,-3200061,-2670164,-2627626,-2769546,-3181212,-2746809,-2511788,-2638599,-2785715,-4133952,-4454997,-4547907,-5222050,-4953117,-4518300,-5042555,-5467480,-4933500,-5372654,-5439735,-5434684,-6175444,-6980245,-6908374,-6818773,-7346438,-7493479,-7833442,-8292111,-8035870,-8318378,-8091616,-8004133,-7768745
34,          Other claims,3975,4213,4217,4425,4526,4625,4907,5093,5572,6678,7301,8150,7792,8253,5285,5181,4929,4532,5006,4934,5271,5389,5010,0,4992,4842,1543,1318,2183,3838,4467,5099,5222,1405,0,0,0,0,0,0,0,0,0,0,0,0,0
35,  U.S. liabilities,16122685,16485106,17281746,18218331,18960701,20262313,20913533,21983996,23736139,22848492,21741288,23418718,22004103,21132222,22403110,22054085,22522519,22977954,24713465,24279615,24787768,25233431,26434323,26663893,26822517,26767883,27313448,27080461,27768499,27473595,27982176,29517429,29648148,30552438,30875375,31812828,32481463,31523595,30838989,30845850,31923877,32850554,32875168,32167823,33025032,33857751,34623597
36,"      Liabilities excluding financial derivatives (sum of lines 38, 41, and 56)",14999185,15256995,16147889,17039172,17762098,18772415,19263877,19496136,19680621,19320437,18603550,17450903,16593811,17239320,18417718,18690641,19206707,18766854,20034278,20737684,21698663,21858402,21326633,22033354,22948564,22679652,23440335,23518476,24560147,24707880,25268723,26577886,27062087,27918798,28167032,28646052,29160943,29079747,28126944,28473923,28921776,29610239,30155814,30020149,31119955,31963463,32952260
37,"      Financial derivatives other than reserves, gross negative fair value (line 50)",1123500,1228111,1133857,1179159,1198603,1489898,1649656,2487860,4055518,3528055,3137738,5967815,5410292,3892902,3985392,3363444,3315812,4211100,4679187,3541931,3089105,3375029,5107690,4630539,3873953,4088231,3873113,3561985,3208352,2765715,2713453,2939543,2586061,2633640,2708343,3166776,3320520,2443848,2712045,2371927,3002101,3240315,2719354,2147674,1905077,1894288,1671337
 ,    By functional category:, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38,      Direct investment at market value,3387219,3402912,3571141,3752602,3859621,4100970,4239248,4134239,3917702,3911825,3712136,3091240,2839930,3141287,3497706,3618630,3769042,3456621,3789895,4099097,4283086,4316300,3907462,4199225,4533429,4490546,4686373,4662434,5049925,5181164,5396959,5814935,5775861,6019121,6106836,6369524,6610274,6671159,6349282,6700834,6861906,7122726,7423886,7569251,7952419,8134515,8452823
39,        Equity,2595071,2570765,2718977,2895531,2945578,3159356,3254660,3097513,2843693,2788247,2582770,2000508,1749039,2024467,2361405,2513901,2645400,2330094,2635958,2927753,3094281,3109545,2687032,2968362,3317666,3243648,3431446,3415843,3753579,3849140,4044256,4443216,4389794,4621127,4655714,4895752,5071574,5086998,4751899,5076420,5182473,5377222,5607216,5783500,6152579,6341180,6630336
40,        Debt instruments,792148,832147,852164,857071,914043,941614,984588,1036726,1074009,1123578,1129366,1090732,1090891,1116820,1136301,1104729,1123642,1126527,1153937,1171344,1188805,1206755,1220430,1230863,1215763,1246898,1254927,1246591,1296346,1332024,1352703,1371719,1386067,1397994,1451122,1473772,1538700,1584161,1597383,1624414,1679433,1745504,1816670,1785751,1799840,1793335,1822487
41,      Portfolio investment,7602527,7791430,8342232,8843523,9271729,9780484,10033110,10326974,10368656,10327562,9878568,9475873,9168152,9633155,10251103,10463234,10810833,10684333,11527670,11869262,12215888,12432716,12212692,12647243,13323328,13297524,13814026,13978865,14569596,14433052,14893588,15541251,15936280,16421470,16568406,16921415,17135059,17163769,16512952,16645846,16880095,17151338,17511614,17352317,17908330,18462608,19043218
42,        Equity and investment fund shares,2454992,2431169,2599784,2791893,2848797,3129523,3222228,3231651,3011024,2969288,2731517,2132433,1904734,2252181,2688029,2917681,3137639,2814256,3169658,3545769,3793751,3829897,3366482,3841901,4355167,4261853,4508580,4545361,5000428,5076822,5406318,5864600,6051072,6352073,6436702,6642507,6728462,6659703,6094427,6209080,6138131,6184424,6488567,6563950,7001909,7199076,7555266
